text,intent,target,metadata
có được đăng ký 2 môn trùng giờ không,academic_query,course_registration,
điểm danh trễ 15p có bị tính vắng k,academic_query,course_info,
môn marketing căn bản tính điểm quá trình sao z,academic_query,course_info,
coi lịch thi học kì ở đâu v,academic_query,exam_schedule,
môn thực hành có bắt buộc mua giáo trình không,academic_query,course_info,
tuần sau nghỉ tết r đúng k,academic_query,study_schedule,
môn này có điều kiện tiên quyết là gì,academic_query,course_info,
đk học vượt đc bao nhiêu tín chỉ,academic_query,course_registration,
lịch thi có bị dời ko v,academic_query,exam_schedule,
xem tkb ở web nào vậy m.n,academic_query,study_schedule,
ai biết điểm qua môn của môn kinh tế vi mô k,academic_query,course_info,
muốn đổi nhóm thực hành có đc ko,academic_query,course_registration,
đkhp bị full lớp r thì phải làm s,academic_query,course_registration,
mai off môn tư tưởng pk mng,academic_query,study_schedule,
kì hè có mở môn trí tuệ nhân tạo ko,academic_query,course_registration,
lịch học anh văn giao tiếp của khoá 20,academic_query,study_schedule,
kiểm tra giữa kì dời sang tuần mấy v,academic_query,exam_schedule,
cách xem mã lớp học phần,academic_query,course_info,
có bị cấm thi nếu vắng quá 3 buổi ko,academic_query,exam_schedule,
khoa luật đăng ký môn ngày nào,academic_query,course_registration,
thời khoá biểu t tkb_hocky1 file pdf tải ở đâu,academic_query,study_schedule,
môn thể dục có học bơi ko,academic_query,course_info,
tại sao ko đăng ký đc môn tự chọn,academic_query,course_registration,
tiết 10 mấy giờ ra chơi z,academic_query,study_time,
bao giờ thì chốt danh sách thi v,academic_query,exam_schedule,
co dc dang ky mon ngoai chuong trinh k,academic_query,course_registration,
lich hoc ngay mai co thay doi gi k,academic_query,study_schedule,
thi tự luận hay trắc nghiệm dợ,academic_query,exam_schedule,
mon nay hoc may buoi 1 tuan,academic_query,study_schedule,
lich thi cuoi ky khi nao co zay,academic_query,exam_schedule,
thoi gian mo he thong dkhp la may gio,academic_query,course_registration,
để qua môn thì điểm tổng kết phải bao nhiêu,academic_query,course_info,
học bổng xét mấy tín chỉ v,academic_query,course_info,
rớt thực hành có đc thi lý thuyết ko,academic_query,exam_schedule,
lịch nghỉ lễ 30/4 có chưa ad,academic_query,study_schedule,
tuần lễ hội nhập khóa mới có tkb ko,academic_query,study_schedule,
học bù ngày chủ nhật tính vào tuần mấy,academic_query,study_schedule,
chuyên ngành phần mềm phải học những môn nào,academic_query,course_info,
xem lịch thi anh văn xếp lớp,academic_query,exam_schedule,
điều kiện học môn đồ án tốt nghiệp,academic_query,course_info,
bao giờ có điểm thi môn toán cao cấp,academic_query,exam_schedule,
đkhp đợt 2 cho sv năm mấy,academic_query,course_registration,
hệ thống dkhp sập r à,academic_query,course_registration,
số lượng sinh viên tối đa của lớp này,academic_query,course_registration,
lớp tín chỉ bị hủy thì làm sao,academic_query,course_registration,
làm sao để biết môn nào học online hay offline,academic_query,study_schedule,
thay đổi lịch thực hành dkhp,academic_query,course_registration,
muốn phúc khảo điểm thi thì bao lâu có kết quả,academic_query,exam_schedule,
có dc rớt môn tiên quyết k,academic_query,course_info,
môn này có làm tiểu luận nhóm ko,academic_query,course_info,
có đc huỷ môn ko hoàn học phí k,academic_query,course_registration,
khoá cũ học lại chung với khoá mới dc k,academic_query,course_registration,
xem điểm danh tkb môn tiếng anh,academic_query,study_schedule,
giảng viên môn luật đại cương tên gì,academic_query,course_info,
điều kiện điểm danh để thi cuối kỳ,academic_query,course_info,
khi nào bắt đầu học kỳ 2 v,academic_query,study_schedule,
dang ky hoc lai the nao a,academic_query,course_registration,
mon the duc co can mua dong phuc khong,academic_query,course_info,
lich thi hoc ky 3 co chua mng,academic_query,exam_schedule,
khi nao truong cho xem diem mon triet,academic_query,exam_schedule,
muon xem chuong trinh dao tao nganh ke toan,academic_query,course_info,
so tin chi bat buoc la bao nhieu,academic_query,course_info,
nhắc tui 3h chiều nay đi họp nhóm nha,schedule_management,,
thêm lịch ăn trưa lúc 12h vô calender dùm,schedule_management,,
ngày mai t có lịch trống nào không,schedule_management,,
xoá cái event tập gym chiều nay đi,schedule_management,,
dời lịch hẹn chiều nay sang sáng mai dc k,schedule_management,,
hôm nay lịch trình của tui có gì dợ,schedule_management,,
nhớ nhắc tao uống nước lúc 9h sáng,schedule_management,,
cập nhật lịch đá banh sang 5h chiều nay,schedule_management,,
thêm vô lịch lúc 10h tối đi ngủ,schedule_management,,
chủ nhật tui có rảnh khoảng nào k,schedule_management,,
tạo cho mình cái nhắc nhở làm bài tập về nhà,schedule_management,,
bỏ lịch học tiếng anh 8h tối nay nhe,schedule_management,,
xem lại lịch trình tuần sau coi có event nào k,schedule_management,,
set lịch hẹn đi cf với bồ vào thứ 7,schedule_management,,
14h hôm nay t có bị kẹt lịch gì ko,schedule_management,,
lên kế hoạch ôn thi từ thứ 2 tới thứ 6 giùm tui,schedule_management,,
sửa tên sự kiện này thành họp clb báo chí,schedule_management,,
thêm lịch hẹn đi ăn thịt nướng ở Gogi nha,schedule_management,,
hôm nay ngày mấy lịch tao rảnh không,schedule_management,,
nhắc đi lấy hàng shopee lúc 4h,schedule_management,,
lưu lại lịch ghé siêu thị lúc tan học,schedule_management,,
có thể dời lịch ăn tối nay xuốn 8h khum,schedule_management,,
cuối tuần này lịch tao sao r,schedule_management,,
xoá bỏ hết lịch trình ngày mai đi,schedule_management,,
hẹn giờ 7h sáng dậy tập thể dục,schedule_management,,
ghi lại 15h chiều nay phải nộp deadline,schedule_management,,
nhắc tui 10p nữa xuống lấy đồ ăn,schedule_management,,
thêm vào thời khoá biểu cá nhân môn tự học 20h,schedule_management,,
chỉnh lại lịch xem phim là ngày 20 nha,schedule_management,,
thứ 4 t rảnh buổi sáng k,schedule_management,,
đặt lịch nghỉ ngơi 30p vào buổi trưa,schedule_management,,
lịch của t ngày mai có dính lịch học ko,schedule_management,,
nhắc tui mượn sách vào thứ 3 nha,schedule_management,,
xem giùm sáng mai có bận ko,schedule_management,,
thêm plan đi du lịch đà lạt vào cuối tháng,schedule_management,,
hủy lịch họp team tối nay nhé bot,schedule_management,,
dời cái deadline này qua thứ 6,schedule_management,,
lên lịch đi thư viện lúc 14h,schedule_management,,
tạo nhắc nhở mua giáo trình lúc 5pm,schedule_management,,
xem lại planner của tháng này,schedule_management,,
ngày mốt t có plan gì chưa,schedule_management,,
nhắc đi sinh nhật bạn lúc 18h t7,schedule_management,,
note lại lịch dọn nhà cuối tuần nha,schedule_management,,
thêm lịch đi khám bệnh sáng mai,schedule_management,,
xóa lịch đi bơi hôm chủ nhật,schedule_management,,
cho tôi coi kế hoạch ngày nay,schedule_management,,
chuyển event này qua tuần sau đc khong,schedule_management,,
báo thức t 8h dậy học bài,schedule_management,,
đưa hoạt động chạy bộ vào mỗi buổi sáng,schedule_management,,
chiều thứ 6 tui rảnh k ta,schedule_management,,
xóa nhắc nhở uống thuốc đi,schedule_management,,
lưu lịch ăn cưới bạn lúc 11h cn,schedule_management,,
xem lịch làm việc cá nhân của t,schedule_management,,
nhắc t đóng tiền nhà vào ngày 5 hàng tháng,schedule_management,,
hôm nay có công việc gì cần làm k,schedule_management,,
đặt lịch đi chơi bida với lũ bạn,schedule_management,,
sửa giờ bắt đầu thành 13h chiều,schedule_management,,
dời lịch học nhóm từ thứ 2 sang thứ 3,schedule_management,,
hủy cái lịch hẹn ăn sáng với cường,schedule_management,,
thêm ghi chú đi mua đồ dùng học tập,schedule_management,,
đặt lời nhắc lúc 11h trưa nay ăn cơm,schedule_management,,
có lịch gì quan trọng tuần này hong,schedule_management,,
tao rảnh giờ nào chiều nay,schedule_management,,
lưu lịch học tiếng nhật thứ 246,schedule_management,,
nhac tui 8h dang ky tin chi nha,schedule_management,,
them lich di uong tra sua luc 19h,schedule_management,,
xoa cai nhac nho 5h sang giup t,schedule_management,,
doi lich xem phim qua chu nhat nha,schedule_management,,
xem lich ca nhan hom nay,schedule_management,,
chu nhat co ban gi ko tui nhi,schedule_management,,
tao event moi di xem ca nhac,schedule_management,,
nhac minh goi dien cho me luc 9h toi,schedule_management,,
lich trinh cua tui ngay mai ra sao,schedule_management,,
cho toi them lich hop cau lac bo,schedule_management,,
xoá cái sự kiện nhảm nhí này đi,schedule_management,,
dời cục họp này tới khi nào t rảnh,schedule_management,,
thêm hđ ngủ trưa vào lịch hằng ngày,schedule_management,,
chiều nay mấy giờ rảnh để chơi game,schedule_management,,
đặt lịch tự học tiếng anh trên mạng lúc 21h,schedule_management,,
nhắc đóng học phí lúc 10h sáng mai nha,schedule_management,,
kiểm tra xem lịch cuối tuần có kẹt ko,schedule_management,,
huỷ cuộc họp lúc 3h chiều,schedule_management,,
thêm lịch đi làm part time từ 5h chiều,schedule_management,,
lưu lại lịch đón em gái lúc 4h rưỡi,schedule_management,,
xem to do list hôm nay có gì,schedule_management,,
nhắc tao trả sách thư viện vào thứ 4,schedule_management,,
dời việc nộp báo cáo sang tuần sau,schedule_management,,
thêm đi mua sắm dzo lịch thứ bẩy,schedule_management,,
coi giùm t tối t7 có rảnh hk,schedule_management,,
xóa plan đi net chìu nay,schedule_management,,
lưu lịch nhậu với xóm trọ tối mai,schedule_management,,
tạo 1 cái event nguyên ngày mai đi chơi,schedule_management,,
nhắc mang laptop sạc lúc 7h,schedule_management,,
check xem t3 tuần sau có lịch hẹn chưa,schedule_management,,
đổi lịch bảo trì xe máy sang ngày mai,schedule_management,,
nhắc ăn nhẹ lúc 3h chiều,schedule_management,,
cho cái lịch học guitar vào t7,schedule_management,,
ngày mai có event nào ko m,schedule_management,,
xóa nhắc nhở này nha,schedule_management,,
thay thời gian cái này thành 12h khuya đi,schedule_management,,
em muốn xin giấy xác nhận sv thì làm sao,document_service,student_certificate,
thủ tục rút bảng điểm tiếng anh ntn,document_service,academic_transcript,
có xin bảng điểm rèn luyện online dc k,document_service,activities_transcript,
làm lại thẻ sinh viên tốn bao nhiêu tiền,document_service,procedure_request,
đăng ký giấy tờ sv bao lâu thì có,document_service,student_certificate,
cách xin cấp giấy chứng nhận sinh viên tạm thời,document_service,student_certificate,
nộp đơn xin bảo lưu kết quả học tập ở đâu,document_service,procedure_request,
cấp lại bảng điểm học kì 1 thì điền form nào,document_service,academic_transcript,
muốn lấy bảng điểm toàn khóa để đi làm thủ tục sao,document_service,academic_transcript,
xin giấy hoãn nghĩa vụ quân sự ntn v ạ,document_service,procedure_request,
thủ tục xin cấp lại mật khẩu email sv,document_service,procedure_request,
mất biên lai học phí xin cấp lại đc ko,document_service,procedure_request,
làm sao để có giấy giới thiệu thực tập,document_service,procedure_request,
xin cấp giấy chứng nhận tốt nghiệp tạm thời,document_service,procedure_request,
chi phí in bảng điểm hệ số 4 là nhiêu,document_service,academic_transcript,
giấy vay vốn ngân hàng chính sách cho sv xin ở đâu,document_service,procedure_request,
đăng kí giấy xnsv để mua vé tháng xe bus,document_service,student_certificate,
xin giấy chứng nhận mồ côi để giảm học phí,document_service,procedure_request,
có đc xin bảng điểm bằng tiếng anh ko,document_service,academic_transcript,
đóng dấu giáp lai vào bảng điểm rèn luyện ở đâu,document_service,activities_transcript,
làm thẻ sv liên kết ngân hàng mất bao lâu,document_service,procedure_request,
muốn đổi tên trên bằng tốt nghiệp thì cần giấy tờ gì,document_service,procedure_request,
thủ tục chuyển ngành học cần nộp đơn gì,document_service,procedure_request,
đăng ký giấy xnsv online có cần lên trường lấy ko,document_service,student_certificate,
xin giấy chứng nhận tham gia chiến dịch mùa hè xanh,document_service,procedure_request,
mẫu đơn xin vắng thi lấy ở link nào,document_service,procedure_request,
quy trình xin cấp học bổng nghèo vượt khó,document_service,procedure_request,
thủ tục cấp lại bằng tốt nghiệp bị mất,document_service,procedure_request,
đăng ký giấy tạm hoãn thi ở đâu,document_service,procedure_request,
xin giấy xác nhận quá trình học tập tại trường,document_service,academic_transcript,
cách lấy bảng điểm để nộp hồ sơ xin việc,document_service,academic_transcript,
phi xin giấy chứng nhận sv là bnh,document_service,student_certificate,
muốn đóng dấu mộc đỏ lên giấy xnsv thì qua phòng nào,document_service,student_certificate,
form đơn xin cứu xét học vụ nằm ở đâu,document_service,procedure_request,
thủ tục xin ở ktx cho sv năm 1,document_service,procedure_request,
hướng dẫn đăng ký giấy chứng nhận sinh viên qua mạng,document_service,student_certificate,
làm thẻ y tế cần nộp gì tk,document_service,procedure_request,
muốn lấy giấy chứng nhận hiến máu của đh,document_service,procedure_request,
giấy chứng nhận đã hoàn thành khóa học quốc phòng,document_service,procedure_request,
thủ tục làm đơn khiếu nại điểm thi,document_service,procedure_request,
em muốn xin bảng điểm 4 năm học thì làm sao,document_service,academic_transcript,
xin giấy xác nhận hạnh kiểm của sv,document_service,activities_transcript,
mẫu đơn xin rút hồ sơ nhập học,document_service,procedure_request,
cách nộp đơn xin miễn giảm học phí,document_service,procedure_request,
thủ tục xin cấp chứng chỉ tin học của trường,document_service,procedure_request,
xin giấy chứng nhận để mua macbook giảm giá,document_service,student_certificate,
xin cấp phó bản bằng tốt nghiệp đại học,document_service,procedure_request,
quy trình nộp đơn xin chuyển trường,document_service,procedure_request,
muốn xin giấy chứng nhận đang làm đồ án tốt nghiệp,document_service,procedure_request,
đăng kí cấp lại thẻ sinh viên do bị gãy,document_service,procedure_request,
tải mẫu đơn xin chuyển điểm ở đâu v ad,document_service,procedure_request,
xin giấy chứng minh đang học ngành này để đi làm thêm,document_service,student_certificate,
hướng dẫn xin giấy vay vốn hssv,document_service,procedure_request,
xin bảng điểm rèn luyện thì làm sao,document_service,activities_transcript,
thủ tục cấp lại thẻ sv bị mất,document_service,procedure_request,
muốn xin giấy xac nhan sv để mở thẻ ngân hàng,document_service,student_certificate,
đăng ký lấy bảng điểm học tập online,document_service,academic_transcript,
lệ phí xin giấy chứng nhận là bao nhiêu,document_service,procedure_request,
cách in bảng điểm tiếng anh,document_service,academic_transcript,
nộp đơn xin thôi học cần chữ ký phụ huynh ko,document_service,procedure_request,
mẫu đơn xin nhập học lại sau khi bảo lưu,document_service,procedure_request,
xin xác nhận điểm rèn luyện năm ngoái,document_service,activities_transcript,
cấp chứng nhận đoàn viên cho sv,document_service,procedure_request,
xin giấy xác nhận điểm gpa để đi du học,document_service,academic_transcript,
hướng dẫn làm giấy chứng nhận sinh viên quốc tế,document_service,student_certificate,
cách lấy giấy chứng nhận khen thưởng,document_service,procedure_request,
thủ tục làm giấy xác nhận ở nội trú,document_service,procedure_request,
muốn lấy bản sao bảng điểm thì mất phí ko,document_service,academic_transcript,
thủ tục xác nhận minh chứng rèn luyện,document_service,activities_transcript,
xin giấy phép vắng mặt dài hạn,document_service,procedure_request,
thủ tục nộp giấy chứng nhận bệnh án để hoãn thi,document_service,procedure_request,
xin cấp lại giấy báo nhập học,document_service,procedure_request,
đăng ký form xin xem lại bài thi,document_service,procedure_request,
xin giấy chứng nhận ưu tiên cho đối tượng 1,document_service,procedure_request,
mẫu đơn xin chuyển hệ học,document_service,procedure_request,
xin giấy xác nhận là lớp trưởng,document_service,procedure_request,
cách làm thẻ thư viện điện tử,document_service,procedure_request,
cấp lại tài khoản msv ntn,document_service,procedure_request,
thủ tục nhận lại bằng cấp 3 từ hồ sơ trúng tuyển,document_service,procedure_request,
xin giấy chứng nhận sv năm 4,document_service,student_certificate,
quy trình làm chứng nhận đã học xong các môn,document_service,academic_transcript,
xin bảng điểm từng kì có được ko,document_service,academic_transcript,
muốn công chứng bảng điểm của trường thì ntn,document_service,academic_transcript,
đơn xin thực tập tốt nghiệp mẫu ở đâu,document_service,procedure_request,
đăng kí giấy chứng nhận học sinh sinh viên,document_service,student_certificate,
xin cấp chứng chỉ tiếng anh chuẩn đầu ra,document_service,procedure_request,
làm giấy chứng nhận để đăng ký thi ielts,document_service,student_certificate,
thủ tục xin lại mật khẩu wifi sinh viên,document_service,procedure_request,
xin giấy uỷ quyền nộp học phí,document_service,procedure_request,
đơn xin cấp học bổng khuyến khích học tập,document_service,procedure_request,
cách lấy giấy biên nhận nộp hồ sơ,document_service,procedure_request,
xin chứng nhận hoàn thành khóa luận,document_service,procedure_request,
giấy giới thiệu về địa phương xin làm sao,document_service,procedure_request,
mẫu giấy xin xác nhận không nợ sách thư viện,document_service,procedure_request,
đăng ký xác nhận sinh viên hệ vừa học vừa làm,document_service,student_certificate,
xin giấy chứng nhận sinh viên 5 tốt cấp trường,document_service,procedure_request,
thủ tục làm đơn xin dời ngày thi,document_service,procedure_request,
xin giấy báo điểm học kì 2,document_service,academic_transcript,
hướng dẫn làm thủ tục tốt nghiệp online,document_service,procedure_request,
chỉ đường tới Toà B dùm cái,navigation,building_b,
đi từ cổng chính tới thư viện đường nào gần,navigation,building_c,
tui đang ở đâu trong trường vậy,navigation,,
phòng học a104 nằm ở lầu mấy,navigation,building_a,
nhà để xe toà c đi sao,navigation,,
đường nào đi lên phòng đào tạo z m.n,navigation,building_ndh,
từ căn tin qua phòng y tế đi hướng nào,navigation,building_e,
tìm đường ra nhà xe cổng 1,navigation,,
chỉ tui đường tới nhà điều hành với,navigation,building_ndh,
cho vị trí của toà nhà F đi,navigation,building_f,
phòng công tác sv ở đâu v,navigation,building_ndh,
thang máy toà A nằm ở góc nào,navigation,,
map trường chỗ toà C,navigation,building_c,
mình đag ở cổng 2 đi thư viện s,navigation,building_c,
hướng dẫn đi tới phòng tự học lầu 3,navigation,,
wc nữ toà E ở đâu zậy,navigation,building_e,
cách đi qua toà G nhanh nhất,navigation,building_g,
định vị chỗ đang đứng xem,navigation,,
phòng gym nằm ở toà nào v,navigation,,
bãi đậu xe hơi nằm ở khu nào,navigation,,
chỉ đường tới sân vận động trường,navigation,,
từ toà d sang toà a xa ko đi đường nào,navigation,building_a,
chỉ giúp vị trí phòng giáo vụ khoa cntt,navigation,building_ndh,
chỗ lấy giấy xnsv ở lầu mấy toà nào,navigation,building_ndh,
map đường đi ra cổng chính,navigation,,
trạm xe bus gần trường ở đâu,navigation,,
chỉ đường lên sân thượng toà B,navigation,building_b,
mình đang lạc ở toà E làm sao ra căn tin,navigation,,
hướng dẫn mình tới phòng y tế đi,navigation,building_e,
phòng B205 nằm ở tầng mấy,navigation,building_b,
tìm vị trí của nhà ăn sinh viên,navigation,,
đi tới phòng ctsv như nào mng,navigation,building_ndh,
đi đường nào qua toà H vậy,navigation,,
đường tắt từ toà C qua toà D,navigation,building_d,
chỉ mình chỗ nộp tiền học phí với,navigation,building_ndh,
vị trí cây atm trong trường ở đâu,navigation,building_c,
tìm đường tới phòng họp số 1 toà nhà điều hành,navigation,building_ndh,
sảnh toà a nằm khúc nào,navigation,building_a,
tới lầu 4 toà E bằng cách nào,navigation,building_e,
phòng c202 ở khu nào z,navigation,building_c,
đang ở toà F đi ra bãi xe sao,navigation,building_f,
chỉ t đường đi đến căn tin toà C,navigation,building_c,
vị trí của trung tâm tin học,navigation,building_ndh,
đi tới nhà thi đấu theo đường nào,navigation,,
hướng dẫn cách ra cổng phụ,navigation,,
từ đây ra cổng mất bao lâu,navigation,,
tầng hầm toà B lối xuống ở đâu,navigation,building_b,
tìm phòng y tế gần nhất,navigation,building_e,
đường đi toà g từ cổng 3,navigation,,
chỉ tui phòng học d401,navigation,building_d,
chỗ máy photo copy trong trường ở đâu,navigation,,
map đường lên lầu 5 toà A,navigation,building_a,
cho tui biết tui đang ở khu nào hong,navigation,,
di toi phong dao tao ntn,navigation,building_ndh,
vi tri cua can tin o dau,navigation,,
tim duong ra nha de xe toa b,navigation,building_b,
tui dang dung o dau tren ban do truong,navigation,,
phong ctsv nam o lau may vay bot,navigation,building_ndh,
duong di bo qua toa e,navigation,building_e,
chi minh cach di len thu vien,navigation,building_c,
điểm danh vân tay ở phòng nào v,navigation,,
